"","stateName","StateAbbrv","Year","OceanSector","Open_establishments","Open_employment","Open_wages","Open_rw","Open_GDP","Open_RealGDP","cpi_ref_year","GeoId","GeoName","GeoScale","OceanSect_Id","Establishments","Employment","Wages","GDP","RealGDP","noimpute_establishments","noimpute_employment","noimpute_wages","noimpute_GDP","noimpute_RealGDP"
"1","Alabama","AL",2024,"Living Resources",68,1739,63880390,63880390.09781,NA,NA,2024,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alabama","AL",2024,"Marine Construction",61,765,57038053,57038053,NA,NA,2024,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alabama","AL",2024,"Marine Transportation",102,5087,261647806,261647806.694444,NA,NA,2024,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alabama","AL",2024,"Offshore Mineral Resources",53,303,34324096,34324096.990153,NA,NA,2024,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alabama","AL",2024,"Ship and Boat Building",56,4028,331410986,331410986,NA,NA,2024,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Alabama","AL",2024,"Tourism and Recreation",1192,20807,569378874,569378874.24753,NA,NA,2024,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alaska","AK",2024,"Living Resources",293,7536,531462450,531462450.088002,NA,NA,2024,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alaska","AK",2024,"Marine Construction",47,222,28939275,28939275.4113421,NA,NA,2024,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Alaska","AK",2024,"Marine Transportation",251,2222,200093381,200093381.217121,NA,NA,2024,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Alaska","AK",2024,"Offshore Mineral Resources",146,8206,1484403689,1484403689.0513,NA,NA,2024,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Alaska","AK",2024,"Ship and Boat Building",31,477,31867498,31867498,NA,NA,2024,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Alaska","AK",2024,"Tourism and Recreation",2251,27317,971213765,971213765.207235,NA,NA,2024,NA,"Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","California","CA",2024,"Living Resources",835,9119,584877632,584877632.173947,NA,NA,2024,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","California","CA",2024,"Marine Construction",282,7574,1027326591,1027326591.93851,NA,NA,2024,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","California","CA",2024,"Marine Transportation",2245,132693,12385931356,12385931356.4276,NA,NA,2024,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","California","CA",2024,"Offshore Mineral Resources",399,4779,643878295,643878295.198493,NA,NA,2024,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","California","CA",2024,"Ship and Boat Building",156,8572,766343990,766343990,NA,NA,2024,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","California","CA",2024,"Tourism and Recreation",23880,439051,16498546417,16498546417.4227,NA,NA,2024,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Connecticut","CT",2024,"Living Resources",68,570,31245051,31245051.2912746,NA,NA,2024,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Connecticut","CT",2024,"Marine Construction",43,249,21517624,21517624,NA,NA,2024,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Connecticut","CT",2024,"Marine Transportation",133,1890,172278825,172278825.850694,NA,NA,2024,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Connecticut","CT",2024,"Offshore Mineral Resources",32,114,10867256,10867256.5461742,NA,NA,2024,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Connecticut","CT",2024,"Ship and Boat Building",23,8712,769677923,769677923,NA,NA,2024,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Connecticut","CT",2024,"Tourism and Recreation",3102,40871,1311541028,1311541028.03114,NA,NA,2024,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
